cat,crab,seagull,squirrel,rubber duck,dishware,plate of food,bath towel,garden fence,grocery shelves,shopping cart,tree
0.019636344,0.01890839,0.0012848811,0.013806577,0.010762414,-0.0319292,-0.014591405,-0.017271258,0.0026536342,0.0030902757,-0.0023358485,0.01582946
-0.0031236983,-0.024928663,-0.002677596,-0.01310374,0.007831864,-0.0011076888,-0.001709549,0.0022446583,0.010530126,-0.011484565,-0.0477088,0.023713725
-0.0059025916,0.0154807,-0.005308741,-0.016046125,0.0024074663,-0.018116351,0.011004554,-0.037528668,-0.020553794,-0.003480559,0.01387295,-0.0076649194
-0.003775321,-0.028967107,-0.014545949,-0.029161777,0.019861197,-0.011302474,0.042627398,0.019517599,-0.024127144,0.00608458,0.008604261,-0.013696931
-0.02323634,0.002706318,-0.00988753,-0.02468268,0.011651817,0.030587249,-0.012663778,-0.012536459,0.0020768335,-0.008503057,-0.0049149157,-0.002389956
0.021097383,-0.013660908,0.016457096,0.043885615,-0.061375193,0.019099677,-0.0048770183,-0.019490696,0.012155016,0.014421287,0.031182552,-0.01686526
-0.032703865,-0.008550531,-0.052158378,-0.027684629,-0.013206672,0.012424624,-0.011687764,0.0319599,0.0053072684,0.00065780326,0.026204461,-0.013916276
0.011968819,-0.11417328,-0.11934049,-0.11007141,-0.121214725,-0.11762903,-0.108727925,-0.10863137,-0.085535295,-0.06904815,-0.08581519,-0.112890005
-0.03478438,-0.0006333439,-0.04910585,-0.033450276,-0.04479007,-0.009937385,0.006642993,-0.02473664,-0.013111661,-0.0044594663,0.0008149411,-0.009901029
0.027233738,0.015555486,0.030976502,0.03104395,0.029356692,0.024455916,-0.0021030046,0.044953696,-0.029796671,0.026193766,-0.0006795124,0.0119543495
0.00060304324,0.026200026,0.02300012,-4.3694643e-05,0.006097848,-0.014958137,0.006886997,-0.05119502,-0.008033003,0.00772249,0.018509902,-0.013526329
-0.04647268,-0.0056120655,-0.018540777,-0.009124968,0.01168381,0.007033679,-0.015164813,-0.025530256,-0.023550343,0.009008505,-0.0009452369,0.024103673
0.023458418,-0.019095356,0.007326062,-0.016999124,-0.033835698,-0.0041039432,-0.019654475,0.016881175,-0.038631566,-0.008247133,0.015831336,-0.026297132
-0.007199993,0.013424085,0.03211788,-0.02195472,-0.024468176,-0.04446951,-0.020240083,-0.024602128,-0.024703944,0.0066540097,-0.0046811732,-0.009980237
0.03335841,-0.017125992,0.007418965,0.018500099,-0.0077102906,0.010567871,0.009235529,0.0026666876,0.012316802,0.020345915,0.012457859,0.015025192
0.042381775,0.025676524,0.0080626495,0.024920931,0.0054835845,0.02554336,0.00572493,0.041025963,0.029402759,0.03588047,0.066711456,0.038263667
0.016386997,0.041954942,0.019230913,0.02692223,0.020462664,0.029083338,0.04921549,0.012993798,0.027587947,0.024990926,0.018939482,0.016743401
-0.020781798,-0.0003412111,0.015926221,0.0053784894,0.01497268,0.014414415,0.006191587,0.027265452,-0.0013716598,0.005278421,-0.013203309,0.02293383
-0.007638304,0.002329272,-0.024035323,0.010727198,0.01908057,0.00080184516,-0.029378012,-0.025247782,-0.024633603,-0.028202765,-0.06453828,-0.039043564
0.007544798,-0.014807627,-0.042974256,-0.010828454,-0.0063569904,-0.0007327954,0.022460515,0.046971366,-0.018148115,0.019795679,0.002954951,-0.010266605
0.039296065,0.005848888,0.053777542,0.062326152,0.0077550807,-0.01987477,-0.020898893,-0.038873784,0.075124756,0.01658384,0.023702782,0.048280463
0.02936101,-0.02322105,0.023769885,-0.04686374,0.016623514,0.004430755,0.0355757,-0.026969528,0.024788354,0.0141397705,-0.022489846,-0.02204426
