Supervised (ImageNet),Temporal 60 s (movies),Temporal 10 s (movies),Temporal 1 s (movies),Temporal 5 min (movies),CMC (movies),random,CMC (ImageNet)
-0.15089191568477656,-0.1428019396761777,0.04106478949998103,-0.1382036186164221,0.14605494270936628,-0.03130292045761346,-0.11601924534370418,-0.1999656844584605
-0.34001469002959933,0.11169011177703028,0.18719924166077792,-0.021008192171657128,-0.1462737352380283,-0.013282337909061526,0.0330709149446142,-0.10549742439691412
-0.17317887531807755,0.20453299387281781,-0.2526481255999176,0.042012247284460354,-0.2846971283918548,-0.0004305502152529908,0.13854342327585953,-0.06258140200406519
-0.07966553204436537,-0.1093329078308609,-0.06607760291884442,-0.2548111533955071,0.14154800937641077,0.8750110738830252,-0.1932935915684144,-0.17435152633698583
-0.10315833333390222,-0.22533227386993612,-0.3038097226398352,-0.001923329693290043,0.10961550670561908,-0.06847736203686641,-0.05597039590667894,0.0042514297505750615
0.26887180212031925,0.5402291849042289,-0.14655065455462446,0.3494020260039945,0.355450738580672,0.4638776535834766,-0.3363780458485245,-0.012942536395434592
-0.03430147446384202,-0.10395824627521241,0.07611065511693763,-0.11283008279596068,-0.256354726268821,-0.22281375291402855,-0.2533049729821967,-0.1711826326257911
-0.23627066749446424,-0.256968518925767,-0.20199238636008804,0.1612832496949128,0.27920679463938225,0.13239783118160217,-0.20108329465251096,-0.07365154029717774
-0.06943808338686783,-0.010462822988391907,-0.09835999753937022,-0.0791538121407846,-0.0936452207314606,0.6993751220930011,-0.18396741366929062,-0.0034170226921225733
0.6104151732668527,0.146152972595298,0.1671702855242637,0.2764617693113014,0.3841373770165095,-0.13629253391048343,0.06457788223487305,-0.09746627843692386
0.23377204004877344,0.32205427800769615,-0.31755006119043594,0.018558693804182194,-0.17707211983577542,0.5828214437801378,0.13279153391953097,-0.048488629256195404
-0.03714854267039408,-0.22551309794691077,-0.04348083789769696,-0.0719569173535,-0.037708974662181496,0.31845263837075377,0.4850398827386816,0.3383776673090323
-0.037961640104969184,0.07629668063501684,0.2729634951877409,0.11803165473041408,0.12414999836310954,0.6188548239191068,-0.21903431554623906,-0.1876394042475831
-0.11792032936046482,-0.12302178071745892,0.0840596804569376,0.5572066940522765,-0.20200312031048295,-0.1831805699920466,0.21879037857301542,0.0004161596238870316
0.02579748418221678,-0.30691077707550674,0.1940934831497573,-0.047050773398699494,-0.1313268033749482,0.5291000380069966,0.1864208993897174,0.23103997556689856
-0.18914495757135963,-0.24827220667847216,0.044377436583307985,0.12713731429453148,0.22975411604112383,0.0349534220868893,-0.06944064568909705,-0.126830691786358
0.5056867192587926,0.19406634160055805,0.5405863993396585,-0.14270676385937106,0.291487137470831,0.11292049490455615,-0.1627439159724108,-0.17407454407631373
-0.1797645453417354,0.10338671125226678,-0.05637518683978633,-0.1251099603216043,0.004799271688117723,-0.03728250671813016,-0.20412638056959553,-0.10997440759594439
-0.21440191338651163,0.061759701996000116,0.051528203877030145,-0.04839285658978792,0.04547982399854977,0.003644504362872697,-0.3107143322780951,-0.010036352951851499
0.037749441301514364,0.2365217819645821,-0.15559454657423424,-0.22863970342400508,-0.3518192526001873,0.5958862059675836,-0.12715229929182603,0.1734330809178288
0.44125624570161665,0.014055008349141085,0.19478433246155802,-0.009432545693192254,0.04850770404821992,-0.23503986458586673,-0.07632018380865711,0.26261497344805074
0.1841226145923383,-0.32104249730988116,0.2430944088290205,0.035673552616820335,-0.25859924175293014,0.5974643222509171,0.020369246164831337,0.2951202322006272
-0.18563517824046571,-0.163254542739096,0.12974061424608924,-0.299733407283198,-0.1035493823281821,0.2641673567767141,-0.23866422432766654,-0.2356472287534301
-0.2756005616322896,0.2970328294306366,0.04235686762434075,0.003116950892028375,0.06114540983915337,0.7230832124008266,0.26404373063062175,-0.16122259883673418
-0.13023257380137648,-0.333159651267634,-0.13382331537683623,-0.1416201292619727,-0.2258852517010982,-0.16582523282854675,-0.23499301357258998,-0.14294642742235963
-0.053101137010173854,0.2647715301435127,0.10587390856755291,0.31165517491624556,-0.11017185412680516,-0.008967193174689612,0.1468264297838248,0.16155410118590546
-0.22990305057936306,-0.30017634698241724,-0.09583637247529708,0.04703561719769726,0.05090657219892388,0.05379749043155804,-0.20152236714954047,-0.04190595529531119
-0.0718705173646184,0.23429445634713775,0.05712011060685701,-0.15327581019671024,0.05420362711023893,0.14001163021773455,-0.09527344343295097,0.11942987167787467
0.4365669890147339,0.08899601441587843,-0.04899191540805789,0.5223385298433467,-0.21973457800736212,0.048581256378575174,0.13602429895142726,0.14253083839490055
-0.2185394072343714,0.05271358017826498,0.2273067538964083,-0.2061695933007658,0.09735775759348181,0.7533272601178134,-0.14542669572811467,-0.16335846078559385
-0.12879832865774976,-0.009006795611614292,0.18525988315789751,0.4613314110808576,-0.30675078727542376,0.5382063303901609,-0.02288395210155364,-0.16589855007054888
